               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.22933,              0.3082,              1.0392,             0.94484,              0.9025,              0.9515,             0.86223,             0.41533,             0.45784,             0.89458,            0.000307,            0.000307,            0.000307
                  37,              0.2231,               0.277,              1.0309,             0.93598,             0.93103,             0.95546,             0.86644,             0.41942,             0.43629,             0.89349,           0.0002872,           0.0002872,           0.0002872
                  38,             0.21688,             0.25818,               1.024,             0.94999,              0.9343,             0.95841,             0.87181,             0.42152,             0.41881,             0.89604,           0.0002674,           0.0002674,           0.0002674
                  39,             0.21701,             0.24274,              1.0191,             0.94986,             0.93252,             0.96114,             0.87245,             0.41641,             0.43127,             0.87946,           0.0002476,           0.0002476,           0.0002476
                  40,             0.21026,             0.23978,               1.015,             0.94693,             0.94435,             0.96154,             0.87801,             0.41271,             0.40871,              0.8788,           0.0002278,           0.0002278,           0.0002278
                  41,             0.21062,             0.23425,              1.0112,             0.95002,             0.94558,             0.96193,             0.87589,             0.40938,             0.39404,             0.87418,            0.000208,            0.000208,            0.000208
                  42,             0.20379,             0.22245,              1.0086,             0.95578,             0.93934,             0.96194,             0.87758,             0.41094,             0.39747,             0.88047,           0.0001882,           0.0001882,           0.0001882
                  43,             0.20062,             0.21809,              1.0012,             0.95301,             0.94365,             0.96397,             0.87978,             0.41913,              0.3864,              0.8967,           0.0001684,           0.0001684,           0.0001684
                  44,             0.20035,             0.21366,              1.0073,             0.96005,             0.93554,             0.96343,             0.88011,             0.42008,             0.39732,             0.88841,           0.0001486,           0.0001486,           0.0001486
                  45,             0.19954,             0.20959,              1.0037,             0.96269,             0.93587,             0.96439,             0.87997,             0.42322,              0.3934,             0.90154,           0.0001288,           0.0001288,           0.0001288
                  46,             0.19843,             0.21008,              1.0014,             0.95441,             0.94132,             0.96463,             0.88179,             0.41771,             0.39118,             0.89689,            0.000109,            0.000109,            0.000109
                  47,             0.19734,             0.20618,              1.0048,             0.96333,             0.94092,             0.96464,             0.88303,             0.42415,             0.38878,             0.90824,            8.92e-05,            8.92e-05,            8.92e-05
                  48,             0.19099,             0.20194,             0.99846,             0.96211,             0.93753,             0.96487,             0.88316,             0.42524,             0.38467,             0.91249,            6.94e-05,            6.94e-05,            6.94e-05
                  49,             0.19427,             0.20402,              1.0007,             0.96184,             0.93983,             0.96481,             0.88272,             0.42889,             0.38286,             0.91967,            4.96e-05,            4.96e-05,            4.96e-05
